,doc_id,v1_score,v1_lat,v1_size,v2_score,v2_lat,v2_size,v3_score,v3_lat,v3_size
0,0,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
1,1,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
2,2,0.85,9.665,114.64638464,0.97,9.665,179.25373951999998,1,9.665,229.92617472
3,3,0.85,9.878,117.17299404799999,0.97,9.878,183.20418406399997,1,9.878,234.993352704
4,4,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
5,5,0.85,14.748,174.941011968,0.97,14.748,273.52655462399997,1,14.748,350.848548864
6,6,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
7,7,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
8,8,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
9,9,0.85,9.672,114.729418752,0.97,9.672,179.38356633599997,1,9.672,230.092701696
10,10,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
11,11,0.85,18.228,216.220827648,0.97,18.228,338.069028864,1,18.228,433.636245504
12,12,0.85,12.485,148.09726976,0.97,12.485,231.55539967999997,1,12.485,297.01275648
13,13,0.85,12.891,152.913248256,0.97,12.891,239.08535500799996,1,12.891,306.67132108799996
14,14,0.85,12.884,152.830214144,0.97,12.884,238.95552819199997,1,12.884,306.50479411199996
15,15,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
16,16,0.85,26.883,318.886576128,0.97,26.883,498.590613504,1,26.883,639.534956544
17,17,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
18,18,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
19,19,0.85,9.877,117.161132032,0.97,9.877,183.185637376,1,9.877,234.969563136
20,20,0.85,14.744,174.893563904,0.97,14.744,273.45236787199997,1,14.744,350.753390592
21,21,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
22,22,0.85,31.5,373.653504,0.97,31.5,584.2206719999999,1,31.5,749.371392
23,23,0.85,9.879,117.184856064,0.97,9.879,183.222730752,1,9.879,235.017142272
24,24,0.85,31.499,373.641641984,0.97,31.499,584.2021253119999,1,31.499,749.3476024319999
